XX,YY,r,Field4,res
1259401.854,3174715.314,1,gutian,2.5
1253475.047,3174502.761,0,gutian,2.5
1256438.387,3174820.261,0,gutian,2.5
1263402.234,3174672.094,0,gutian,2.5
1262534.399,3172661.257,0,gutian,2.5
1263973.735,3169676.751,0,gutian,2.5
1260692.895,3165231.742,0,gutian,2.5
1258766.725,3164004.073,0,gutian,2.5
1260044.638,3169205.311,0,gutian,2.5
1257099.819,3169906.458,0,gutian,2.5
1258584.135,3173099.985,0,gutian,2.5
2041338.948,4945689.752,1,dongbei,2.5
2041338.948,4945689.752,1,dongbei,2.5
2045021.326,4938658.57,1,dongbei,2.5
2045039.628,4938655.294,1,dongbei,2.5
2049283.82,4943875,1,dongbei,2.5
2019891.662,4921966.692,1,dongbei,2.5
2049140.341,4950650.687,1,dongbei,2.5
2032703.812,4929621.594,1,dongbei,2.5
2023645.288,4918450.124,1,dongbei,2.5
2037754.437,4942638.875,1,dongbei,2.5
927929.3238,2628688.08,0,nanling,2.5
940416.6455,2631639.808,0,nanling,2.5
931383.4179,2622902.099,0,nanling,2.5
781036.5104,2442011.883,0,nanling,2.5
769740.0458,2436953.805,0,nanling,2.5
775000.7058,2450839.01,0,nanling,2.5
967834.822,2614444.131,0,nanling,2.5
953703.0483,2605115.211,0,nanling,2.5
958901.7012,2612747.847,0,nanling,2.5
964723.3027,2606890.866,0,nanling,2.5
-534808.0356,2834202.384,1,laojun,2.5
124394.5754,3459593.296,1,Sichuan,7.5
124415.1372,3444134.339,1,Sichuan,7.5
209135.74,3415314.552,1,Sichuan,7.5
227618.5887,3447594.021,1,Sichuan,7.5
-10416.1936,3447460.949,1,Sichuan,7.5
-22141.3687,3445445.106,1,Sichuan,7.5
-24749.8137,3434690.505,1,Sichuan,7.5
-40386.8742,3429988.129,1,Sichuan,7.5
-38438.2389,3416546.83,1,Sichuan,7.5
-39097.1238,3400420.591,1,Sichuan,7.5
-39757.1076,3382953.961,1,Sichuan,7.5
-40414.2513,3372207.172,1,Sichuan,7.5
-57356.6928,3382959.219,1,Sichuan,7.5
-72998.6438,3384980.602,1,Sichuan,7.5
-82774.1878,3386328.651,1,Sichuan,7.5
-84092.1752,3372224.7,1,Sichuan,7.5
-72360.4971,3369532.398,1,Sichuan,7.5
-71069.1919,3355429.712,1,Sichuan,7.5
-83459.2011,3354093.431,1,Sichuan,7.5
-83472.8415,3341337.13,1,Sichuan,7.5
-97093.6999,3403130.25,1,Sichuan,7.5
-97106.791,3391710.116,1,Sichuan,7.5
-87322.6421,3399766.091,1,Sichuan,7.5
-67758.6032,3417226.956,1,Sichuan,7.5
-68400.3171,3429995.555,1,Sichuan,7.5
-68387.2189,3447470.993,1,Sichuan,7.5
-67073.9994,3462260.127,1,Sichuan,7.5
-69018.1149,3475707.619,1,Sichuan,7.5
-83992.5142,3477728.921,1,Sichuan,7.5
-85309.5478,3460921.132,1,Sichuan,7.5
-98969.2369,3476389.106,1,Sichuan,7.5
-83981.7608,3490505.103,1,Sichuan,7.5
-25394.1015,3460907.76,1,Sichuan,7.5
-38425.6121,3446119.515,1,Sichuan,7.5
-23452.7534,3412512.473,1,Sichuan,7.5
-10419.8475,3415871.24,1,Sichuan,7.5
-9115.1244,3430656.471,1,Sichuan,7.5
4567.0744,3414527.013,1,Sichuan,7.5
-10421.4669,3402432.231,1,Sichuan,7.5
-21500.5647,3401761.333,1,Sichuan,7.5
-22808.1585,3386309.46,1,Sichuan,7.5
-129045.6965,3387701.628,1,Sichuan,7.5
-130331.379,3399121.055,1,Sichuan,7.5
-144691.7127,3384356.667,1,Sichuan,7.5
-159028.3797,3384370.007,1,Sichuan,7.5
-171406.6513,3385725.526,1,Sichuan,7.5
-172736.6983,3372969.552,1,Sichuan,7.5
-189033.4704,3370974.568,1,Sichuan,7.5
-170723.6814,3401170.709,1,Sichuan,7.5
-187007.4259,3402530.388,1,Sichuan,7.5
-200693.4547,3399859.275,1,Sichuan,7.5
-130451.9588,3325265.748,1,Sichuan,7.5
-114800.8051,3323908.661,1,Sichuan,7.5
-101755.7294,3323897.693,1,Sichuan,7.5
-114171.2114,3309144.905,1,Sichuan,7.5
-125913.7388,3309156.418,1,Sichuan,7.5
-143558.5257,3293075.571,1,Sichuan,7.5
-157255.4546,3295105.534,1,Sichuan,7.5
-171608.0752,3295125.73,1,Sichuan,7.5
-174253.59,3280375.767,1,Sichuan,7.5
-158594.5741,3279681.815,1,Sichuan,7.5
-189914.912,3279730.816,1,Sichuan,7.5
-188655.3334,3262967.997,1,Sichuan,7.5
-204974.3312,3261657.747,1,Sichuan,7.5
-203705.1693,3249591.321,1,Sichuan,7.5
-203747.9297,3235519.497,1,Sichuan,7.5
-190045.4366,3232811.798,1,Sichuan,7.5
-220020.0235,3250295.314,1,Sichuan,7.5
-219415.5941,3235553.266,1,Sichuan,7.5
-235086.7388,3234249.78,1,Sichuan,7.5
-235134.6594,3220853.62,1,Sichuan,7.5
-222076.4935,3220822.005,1,Sichuan,7.5
-205803.8173,3204710.431,1,Sichuan,7.5
-189718.3113,3126363.704,1,Sichuan,7.5
-175983.1233,3126330.713,1,Sichuan,7.5
-176021.8206,3113622.344,1,Sichuan,7.5
-188460.4591,3110977.955,1,Sichuan,7.5
-192435.5775,3096278.564,1,Sichuan,7.5
-191831.6919,3081571.085,1,Sichuan,7.5
-205576.7507,3081610.272,1,Sichuan,7.5
-206283.8612,3067579.67,1,Sichuan,7.5
-207427.0322,3112366.163,1,Sichuan,7.5
-236925.8943,3096946.541,1,Sichuan,7.5
-236987.0845,3082511.859,1,Sichuan,7.5
-251121.3275,3082561.311,1,Sichuan,7.5
-250792.6221,3068531.079,1,Sichuan,7.5
-250868.6718,3052101.911,1,Sichuan,7.5
-237517.5345,3050850.432,1,Sichuan,7.5
-237183.4896,3037628.271,1,Sichuan,7.5
-252122.9254,3036082.927,1,Sichuan,7.5
-222325.0848,3019950.786,1,Sichuan,7.5
-207775.8247,3020701.737,1,Sichuan,7.5
-195981.1417,3020663.669,1,Sichuan,7.5
-191996.6401,3035073.517,1,Sichuan,7.5
-194302.3468,3049506.428,1,Sichuan,7.5
-179368.2114,3049864.797,1,Sichuan,7.5
-176969.5858,3062284.938,1,Sichuan,7.5
-161247.4865,3064250.132,1,Sichuan,7.5
-146708.6653,3064617.964,1,Sichuan,7.5
-160415.9684,3079887.439,1,Sichuan,7.5
-131845.2695,3036925.559,1,Sichuan,7.5
-162914.137,3032989.43,1,Sichuan,7.5
-176665.2141,3035430.142,1,Sichuan,7.5
-161815.6778,3006946.711,1,Sichuan,7.5
-161874.2052,2988526.555,1,Sichuan,7.5
-176426.5537,2990169.408,1,Sichuan,7.5
-148445.7092,3005711.215,1,Sichuan,7.5
-135069.2265,3006481.263,1,Sichuan,7.5
-163753.4966,2975321.374,1,Sichuan,7.5
-266421.6331,3006112.273,1,Sichuan,7.5
-281097.7903,3006178.171,1,Sichuan,7.5
-281975.5745,3037675.569,1,Sichuan,7.5
-282421.5984,3052363,1,Sichuan,7.5
-266640.0121,3066721.359,1,Sichuan,7.5
-281739.3622,3083079.099,1,Sichuan,7.5
-296739.5147,3067380.8,1,Sichuan,7.5
-264791.2236,3125785.681,1,Sichuan,7.5
-265694.7228,3100121.364,1,Sichuan,7.5
-266024.8063,3142105.394,1,Sichuan,7.5
-281442.597,3143496.525,1,Sichuan,7.5
-297126.1993,3143554.17,1,Sichuan,7.5
-252359.3931,3158649.342,1,Sichuan,7.5
-234845.5032,3158596.947,1,Sichuan,7.5
-220212.5653,3156682.5,1,Sichuan,7.5
-218954.3455,3143298.039,1,Sichuan,7.5
-293419.4773,3325265.23,1,Sichuan,7.5
-292680.0377,3314402.754,1,Sichuan,7.5
-279732.2073,3325637.061,1,Sichuan,7.5
-278223.6329,3310749.14,1,Sichuan,7.5
-279075.3295,3292652.286,1,Sichuan,7.5
-277163.0669,3281388.341,1,Sichuan,7.5
-291245.2624,3282228.312,1,Sichuan,7.5
-294446.2922,3265353.124,1,Sichuan,7.5
-310882.8911,3264998.038,1,Sichuan,7.5
-310158.6062,3252136.738,1,Sichuan,7.5
-293730.9973,3249677.137,1,Sichuan,7.5
-321590.3918,3234898.027,1,Sichuan,7.5
-354868.1407,3233005.679,1,Sichuan,7.5
-370911.8068,3233065.716,1,Sichuan,7.5
-385760.8364,3236335.035,1,Sichuan,7.5
-387242.1232,3250793.668,1,Sichuan,7.5
-382463.16,3266035.374,1,Sichuan,7.5
-368692.8052,3281653.716,1,Sichuan,7.5
-353831.4584,3282007.269,1,Sichuan,7.5
-338899.7601,3296832.04,1,Sichuan,7.5
-384693.1153,3218268.79,1,Sichuan,7.5
-383972.6598,3207832.176,1,Sichuan,7.5
-383698.1181,3188573.313,1,Sichuan,7.5
-383380.972,3176538.797,1,Sichuan,7.5
-384664.5314,3159301.498,1,Sichuan,7.5
-384370.7379,3144066.011,1,Sichuan,7.5
-383673.3898,3130836.055,1,Sichuan,7.5
-370562.6786,3159235.898,1,Sichuan,7.5
-354103.6293,3159964.609,1,Sichuan,7.5
-340791.0273,3158303.301,1,Sichuan,7.5
-356664.734,3191266.809,1,Sichuan,7.5
-356647.2489,3127899.13,1,Sichuan,7.5
-356728.8808,3114673.02,1,Sichuan,7.5
-354863.3999,3099437.034,1,Sichuan,7.5
-356936.92,3081821.493,1,Sichuan,7.5
-357017.4924,3069407.075,1,Sichuan,7.5
-340932.9135,3068523.392,1,Sichuan,7.5
-340841.1137,3083342.995,1,Sichuan,7.5
-341535.2474,3098170.309,1,Sichuan,7.5
-338701.0644,3112985.045,1,Sichuan,7.5
-415894.0698,3174287.415,1,Sichuan,7.5
-399450.49,3174207.446,1,Sichuan,7.5
-412089.9113,3217182.292,1,Sichuan,7.5
-412156.7665,3206752.314,1,Sichuan,7.5
-398854.4507,3206291.531,1,Sichuan,7.5
-410212.2859,3268146.616,1,Sichuan,7.5
-397854.9212,3310678.398,1,Sichuan,7.5
-384959.4098,3310636.927,1,Sichuan,7.5
-367148.4184,3343145.476,1,Sichuan,7.5
-367219.2623,3328403.243,1,Sichuan,7.5
-337127.1254,3358085.829,1,Sichuan,7.5
-322284.7199,3356710.915,1,Sichuan,7.5
-310561.3293,3356685.211,1,Sichuan,7.5
-292852.0513,3354501.876,1,Sichuan,7.5
-279292.2367,3357158.022,1,Sichuan,7.5
-307374.1186,3372507.53,1,Sichuan,7.5
-336544.195,3372836.829,1,Sichuan,7.5
-548507.2051,3223016.391,1,Sichuan,7.5
-562580.5908,3209646.971,1,Sichuan,7.5
-503776.9461,3162090.238,1,Sichuan,7.5
-535510.0184,3112697.184,1,Sichuan,7.5
-534939.2748,3104029.674,1,Sichuan,7.5
-521140.1565,3114593.193,1,Sichuan,7.5
-521262.4539,3101263.333,1,Sichuan,7.5
-503804.4018,3083142.455,1,Sichuan,7.5
-505879.5375,3070497.663,1,Sichuan,7.5
-510255.6203,3055807.539,1,Sichuan,7.5
-493489.3796,3068407.079,1,Sichuan,7.5
-237825.9266,2870340.724,1,Sichuan,7.5
-239487.9202,2854382.933,1,Sichuan,7.5
-239573.8306,2838423.306,1,Sichuan,7.5
-268664.543,2856130.494,1,Sichuan,7.5
-268760.7846,2840173.545,1,Sichuan,7.5
-330195.2615,2853316.202,1,Sichuan,7.5
-327912.1678,2842135.99,1,Sichuan,7.5
-329620.8247,2824608.906,1,Sichuan,7.5
-346640.6604,2867786.759,1,Sichuan,7.5
-357005.5285,2852707.775,1,Sichuan,7.5
-372704.9047,2959778.888,1,Sichuan,7.5
-372784.1879,2949392.809,1,Sichuan,7.5
-388387.0394,2965477.272,1,Sichuan,7.5
-415960.3027,2958483.391,1,Sichuan,7.5
-417231.1845,2994445.105,1,Sichuan,7.5
-416558.0834,2980855.281,1,Sichuan,7.5
-429921.3222,2980153.396,1,Sichuan,7.5
-431396.5075,2991349.721,1,Sichuan,7.5
-461475.0038,2966022.613,1,Sichuan,7.5
-460930.1227,3025930.48,1,Sichuan,7.5
-477290.5859,3038840.654,1,Sichuan,7.5
-477952.9106,3052435.683,1,Sichuan,7.5
-98909.1218,3571108.12,1,Sichuan,7.5
-97054.3396,3585838.528,1,Sichuan,7.5
-96970.8935,3554621.959,1,Sichuan,7.5
-124932.0403,3568756.072,1,Sichuan,7.5
-112897.238,3569090.94,1,Sichuan,7.5
-158735.5657,3584909.292,1,Sichuan,7.5
-112292.5567,3522333.538,1,Sichuan,7.5
-128925.371,3491403.635,1,Sichuan,7.5
1259401.854,3174715.314,1,Sichuan,7.5
