"","PRO","BIO1","BIO12","BIO15","BIO2","BIO3","BIO4","ELE","RUG","POP","VEG"
"fold_1",0.003,0.016,0.047,0.057,0.087,0.018,0.003,0.01,0.075,0.012,0.013
"fold_2",0.001,0.023,0.02,0.043,0.144,0.027,0.004,0.006,0.027,0.012,0.016
"fold_3",0.002,0.029,0.031,0.061,0.105,0.042,0.004,0.009,0.03,0.012,0.01
"fold_4",0.002,0.015,0.046,0.029,0.124,0.023,0.006,0.007,0.033,0.013,0.035
"fold_5",0.003,0.018,0.035,0.045,0.097,0.048,0.01,0.007,0.069,0.017,0.024
"fold_6",0.001,0.024,0.036,0.028,0.104,0.013,0.005,0.01,0.072,0.011,0.032
"fold_7",0.007,0.02,0.044,0.028,0.131,0.033,0.007,0.015,0.034,0.005,0.028
"fold_8",0.001,0.026,0.033,0.057,0.087,0.03,0.012,0.008,0.04,0.003,0.019
"fold_9",0.001,0.024,0.019,0.021,0.111,0.04,0.008,0.007,0.063,0.008,0.034
"fold_10",0.002,0.023,0.02,0.034,0.121,0.035,0.004,0.009,0.024,0.025,0.012
