X,Y,R,Res
-192581.5116,3268675.093,1,0
-172066.1495,3274239.554,1,0
-252616.4694,3228406.152,1,0
-86871.8022,3506216.982,1,0
-92933.2695,3503454.626,1,0
-88056.0212,3508315.014,1,0
239439.0757,3593458.384,1,0
236364.2083,3591906.831,1,0
682430.5604,4030239.182,0,0
494369.6609,3037013.979,0,0
666638.4017,3769247.922,0,0
-529205.9062,4204657.153,0,0
-395065.8954,4128823.672,0,0
-244572.2557,4034397.119,0,0
471230.6884,1964706.241,0,0
1392204.28,5890957.925,0,0
1208376.982,4859542.094,0,0
1128730.354,3284404.704,0,0
-397049.8867,2354804.67,0,0
1268449.585,2572807.803,0,0
109768.9974,2898021.735,0,0
1245213.354,5700454.95,0,0
302948.4108,2642942.799,0,0
785425.7164,4303257.965,0,0
652091.2824,2677788.312,0,0
843759.1625,3414317.161,0,0
1051375.789,3186019.502,0,0
905885.2754,2852964.67,0,0
1360203.664,3313366.658,0,0
594666.5928,4170717.898,0,0
732361.5221,4887370.723,0,0
632497.8393,4114287.853,0,0
710083.2973,3816650.04,0,0
-337045.0015,3493703.863,0,0
897358.8706,4407661.799,0,0
541907.6809,3923109.702,0,0
-1325796.907,3227733.623,0,0
-209713.8608,2737058.77,0,0
1619755.086,5111740.022,0,0
1501551.174,4433332.782,0,0
421565.7382,3255014.993,0,0
1425627.947,3019626.088,0,0
8789.767528,4029371.08,0,0
1625164.183,2570292.699,1,0
780761.0003,3117666.937,1,0
1632872.053,2486363.808,1,0
471222.7322,3154459.941,1,0
2072712.936,4901327.147,1,0
-617007.3315,2439315.259,1,0
786799.5483,2620834.393,1,0
-887323.5324,3140727.811,1,0
-961111.9121,3126673.922,1,0
1259024.428,3169300.371,1,0
-350356.7772,2270030.678,1,0
-633268.4463,2748876.676,1,0
-128392.3513,3310979.39,1,0
545357.5219,2726949.506,1,0
531527.5538,3197268.914,1,0
346915.1422,3610780.12,1,0
1977628.422,5298863.719,1,0
-116527.3627,2999591.388,1,0
1795145.105,5430538.354,1,0
1269495.255,3220867.125,1,0
2105894.569,5207383.673,1,0
1753027.419,4887981.391,1,0
2035495.487,4940156.78,1,0
1818322.989,4776943.009,1,0
1219286.169,3199310.914,1,0
-112828.2016,3323701.248,1,0
2178472.852,5348567.422,1,0
2161036.79,5419314.198,1,0
1189566.267,3022575.219,1,0
1216387.489,3018336.33,1,0
419434.2316,2666603.428,1,0
2142590.294,5304035.883,1,0
1907815.691,5212121.44,1,0
-474166.6303,3115433.629,0,0
-431356.619,3146186.579,0,0
-473157.738,3176427.747,0,0
-186234.7218,3586484.583,0,0
-171279.1486,3585810.047,0,0
-231156.5812,3555553.802,0,0
-246368.3532,3448031.231,0,0
-292479.2406,3479650.089,0,0
-232739.9249,3431896.301,0,0
-559514.3946,3376333.886,0,0
-573603.7387,3405144.187,0,0
-353235.0865,3267172.795,0,0
18269.1854,3415435.033,0,0
198896.7683,3401032.385,0,0
285702.0187,3384241.122,0,0
-454982.1142,3357237.221,0,0
-396424.9337,3356393.406,0,0
-471426.9047,3327168.959,0,0
17589.6201,3032617.264,0,1
45902.7003,3033433.012,0,1
46701.3119,3019806.522,0,1
18380.054,3021394.831,0,1
16029.7975,2990143.856,0,1
2649.093,2974123.343,0,1
-12311.7377,2973323.802,0,1
2938.7797,2957274.23,0,1
17694.7562,2955062.993,0,1
32571.2862,2972530.874,0,1
48303.3265,2989360.258,0,1
48318.7523,2973342.61,0,1
47544.4374,2959730.993,0,1
90084.3966,2954179.514,0,1
106624.6699,2954208.387,0,1
105861.4259,2943003.36,0,1
93746.6856,3032607.925,0,1
107242.9926,3034307.985,0,1
105805.5802,3018924.871,0,1
107405.0052,3048965.002,0,1
87224.2605,3049156.004,0,1
4977.2892,3400920.236,0,1
19836.5549,3400115.024,0,1
18269.1854,3415435.033,0,1
50327.7083,3415440.825,0,1
49528.0572,3447701.379,0,1
36235.0696,3461413.35,0,1
138653.9624,3429191.12,0,1
198083.5897,3414731.741,0,1
198832.5239,3429240.987,0,1
198896.7683,3401032.385,0,1
228645.0094,3384150.736,0,1
227901.4244,3370456.778,0,1
213872.6219,3353523.568,0,1
213912.4623,3339029.661,0,1
227989.8236,3339857.688,0,1
230382.6033,3324566.857,0,1
257717.9365,3337496.086,0,1
257772.6799,3321399.855,0,1
257814.6152,3309329.956,0,1
289459.0021,3319225.546,0,1
285702.0187,3384241.122,0,1
285755.5577,3368943.711,0,1
302899.0821,3382662.175,0,1
-176485.6363,3095234.654,0,1
